solutionId,instanceParentQuestionId,hasAParentQuestion,parentQuestionOperator,parentQuestionValue,parentQuestionId,externalId,question0,question1,tip,hint,instanceIdentifier,responseType,dateFormat,autoCapture,validation,validationIsNumber,validationRegex,validationMax,validationMin,file,fileIsRequired,fileUploadType,allowAudioRecording,minFileCount,maxFileCount,caption,questionGroup,modeOfCollection,accessibility,showRemarks,rubricLevel,isAGeneralQuestion,R1,R1-hint,R2,R2-hint,R3,R3-hint,R4,R4-hint,R5,R5-hint,R6,R6-hint,R7,R7-hint,R8,R8-hint,R9,R9-hint,R10,R10-hint,R11,R11-hint,R12,R12-hint,R13,R13-hint,R14,R14-hint,R15,R15-hint,R16,R16-hint,R17,R17-hint,R18,R18-hint,R19,R19-hint,R20,R20-hint,sectionHeader,page,questionNumber,_arrayFields
e7f5e938-e129-11ee-8c82-1e9c08f9812c-SURVEY-TEMPLATE,NA,NO,,,,SUR_TEST_001_1710328053240,Email,,,,,text,,,TRUE,,"^[\w-\.]+@([\w-]+\.)+[\w-]{2,4}$",,,NA,,,,,,FALSE,A1,onfield,No,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1,1,
e7f5e938-e129-11ee-8c82-1e9c08f9812c-SURVEY-TEMPLATE,NA,NO,,,,SUR_TEST_002_1710328053240,Name,,,,,text,,,TRUE,,^[a-zA-Z0-9\s]*$,,,NA,,,,,,FALSE,A1,onfield,No,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1,2,
e7f5e938-e129-11ee-8c82-1e9c08f9812c-SURVEY-TEMPLATE,NA,NO,,,,SUR_TEST_004_1710328053240,Ministry/Department,,,,,text,,,TRUE,,^[a-zA-Z0-9\s]*$,,,NA,,,,,,FALSE,A1,onfield,No,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1,3,
e7f5e938-e129-11ee-8c82-1e9c08f9812c-SURVEY-TEMPLATE,NA,NO,,,,SUR_TEST_004_1710328053240,Designation,,,,,text,,,TRUE,,^[a-zA-Z0-9\s]*$,,,NA,,,,,,FALSE,A1,onfield,No,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1,4,
e7f5e938-e129-11ee-8c82-1e9c08f9812c-SURVEY-TEMPLATE,NA,NO,,,,SUR_TEST_005_1710328053240,Which of the following technology domains are you most interested in learning about? (You may select more than one),,,,,multiselect,,,TRUE,,,,,NA,,,,,,FALSE,A1,onfield,No,FALSE,,,Artificial Intelligence | Machine Learning,,Computer Vision,,Natural Language Processing,,Cybersecurity,,Data Insights and Data Analytics,,Internet of Things,,Blockchain,,Drones,,AR – VR – MR (Augmented Reality – Virtual Reality – Mixed Reality),,other,,,,,,,,,,,,,,,,,,,,,,,p1,5,parentQuestionValue
e7f5e938-e129-11ee-8c82-1e9c08f9812c-SURVEY-TEMPLATE,NA,NO,,,,SUR_TEST_006_1710328053240,What should be the preferred duration of the online course on a subject?,,,,,radio,,,TRUE,,,,,NA,,,,,,FALSE,A1,onfield,No,FALSE,,,Less than 60 minutes,,60 to 120 minutes,,2 to 5 Hours,,More than 5 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1,6,parentQuestionValue
e7f5e938-e129-11ee-8c82-1e9c08f9812c-SURVEY-TEMPLATE,NA,NO,,,,SUR_TEST_007_1710328053240,How imprtant is hands-on or practical training in a course for you?,,,,,radio,,,TRUE,,,,,NA,,,,,,FALSE,A1,onfield,No,FALSE,,,Very Important,,Moderately Important,,Slightly Important,,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1,7,parentQuestionValue
e7f5e938-e129-11ee-8c82-1e9c08f9812c-SURVEY-TEMPLATE,NA,NO,,,,SUR_TEST_008_1710328053240,Which format of learning do you prefer?,,,,,radio,,,TRUE,,,,,NA,,,,,,FALSE,A1,onfield,No,FALSE,,,Self-paced online courses,,Instructor-led online courses,,Hybrid (a mix of online and face-to-face),,Traditional Classroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1,1,parentQuestionValue
e7f5e938-e129-11ee-8c82-1e9c08f9812c-SURVEY-TEMPLATE,NA,NO,,,,SUR_TEST_009_1710328053240,What is your main goal for taking these courses?,,,,,radio,,,TRUE,,,,,NA,,,,,,FALSE,A1,onfield,No,FALSE,,,Skill Enhancement,,Career Advancement,,Improve Service Delivery/Stakeholder’s engagements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1,2,parentQuestionValue
e7f5e938-e129-11ee-8c82-1e9c08f9812c-SURVEY-TEMPLATE,NA,NO,,,,SUR_TEST_010_1710328053240,"After taking courses on emerging technologies, I would like to:
 
(Select all that apply) [we shall include improvement in service delivery/ program or scheme delivery]",,,,,multiselect,,,TRUE,,,,,NA,,,,,,FALSE,A1,onfield,No,FALSE,,,Leverage emerging technologies for an existing project in my Dept/Ministry,,Identify areas where these technologies can be used in my Department/Ministry,,Implement digital technologies for program implementation and monitoring,,Implement digital technologies for improving service delivery to people/businesses,,Implement digital technologies for measurement of impact of programs/policies,,Implement digital technologies for risk mitigation,,Implement digital technologies for decision support system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1,3,parentQuestionValue
